year,income
0,0.6040547416825548
1,0.607000991870524
2,0.6346417198907924
3,0.6134443754891005
4,0.6257387679475416
5,0.6278191351055018
6,0.634448311569382
7,0.6367307699585472
8,0.6186931770776795
9,0.6343525311255113
10,0.6175008952084329
11,0.6155213498653551
12,0.601248773629415
13,0.5982056733217264
14,0.6009910857826957
15,0.592092664613358
16,0.6133475594957233
17,0.6031277439801788
18,0.5932426416429746
19,0.6021214614268366
20,0.6045688515613464
21,0.5946115741204534
22,0.5919341451214953
23,0.6187611396599734
24,0.6015050803546033
25,0.6156565440451247
26,0.6231842358472749
27,0.620800475474176
28,0.6315384652648685
29,0.6328244259356173
30,0.6506084337497363
31,0.6396340314149837
32,0.6409585846809175
33,0.6296351897333062
34,0.6392053838085805
35,0.6401220904350121
36,0.6397266367184604
37,0.6757254055377354
38,0.6650737170749799
39,0.6580995050395795
40,0.6722566835477889
41,0.6865288370860375
42,0.6670852447684715
43,0.6574135090460238
44,0.6764139708445726
45,0.6580923738790672
46,0.670245686565027
47,0.6793535603786971
48,0.6764309863434844
49,0.6793135332576391
50,0.6861151438755551
51,0.6926173719909291
52,0.6827358505435561
53,0.6782678510220793
54,0.6673385238078604
55,0.667666173667261
56,0.6508828700261923
57,0.6306023228540765
58,0.6577337515859457
59,0.6450701961992013
60,0.6240066199061817
61,0.6657676530550077
62,0.6307716912617979
63,0.618953234251657
64,0.6203049419950635
65,0.6359022626272101
66,0.6001892547506638
67,0.6137586831506756
68,0.6172449586133667
69,0.6095079470442331
70,0.62521915915989
71,0.6249872552764671
72,0.6255666336468394
73,0.6142572914522831
74,0.6059654510243193
75,0.594248221543021
76,0.6041958519441013
77,0.6112409767644287
78,0.5951586174778691
79,0.6302243012217954
80,0.6041229815050606
81,0.5917235308085925
82,0.6042760319263042
83,0.6010659428243323
84,0.5843387822989592
85,0.5885670574500735
86,0.6091083000360893
87,0.5797433611171707
88,0.5921817239454064
89,0.5982921671114912
90,0.5943492709049847
91,0.6109327493886912
92,0.6075332494889027
93,0.6168195409754785
94,0.6155137860435512
95,0.6352317538366017
96,0.6267021725675488
97,0.6437410467144662
98,0.642630102644658
99,0.6375094515389632
100,0.6740161131057244
101,0.6612171770566221
102,0.6482681977761215
103,0.6505136379560853
104,0.6434731430902713
105,0.6209172939692068
106,0.6114455670747193
107,0.6102727182849526
108,0.6115286181471123
109,0.6079054278583352
110,0.607910010576013
