year,civil servant,craftsman,farmer,fisher,homemaker,retired,service provider,unemployed
34,6889.901052631579,5444.1209803921565,2782.9596923076924,2816.5316949152543,-141.01338709677418,1778.917857142857,6631.768260869566,-111.39882352941176
35,6768.415277777778,5603.483725490196,2754.941904761905,2720.2043333333336,-150.73666666666665,1888.8935135135134,6740.8822222222225,-116.05125
36,6540.568918918919,5463.36862745098,2710.4832203389833,3459.1324137931033,-167.73583333333332,1892.3555172413792,6952.400909090909,-119.87
37,6742.422432432432,5507.341372549019,1905.4716129032258,2785.7847368421053,-187.29169491525423,1823.081111111111,6977.395227272727,-99.32111111111111
38,6018.914000000001,4951.676304347826,2448.7449122807016,2579.295918367347,-158.43944444444443,1825.316607142857,6541.0225,-98.19882352941177
39,6200.163666666666,4871.655777777778,2410.208181818182,3058.1249056603774,-161.39927272727272,1965.0149999999999,6425.523421052632,-116.70882352941176
40,6234.618709677419,4877.777291666666,2308.1087037037037,2429.007818181818,-169.4819298245614,1950.266909090909,6466.980555555555,-135.82529411764708
41,6292.3859375,4954.401960784314,1696.6903921568628,2396.9794545454542,-167.1566666666667,1755.9470175438596,6561.222894736842,-150.08352941176472
42,6333.906969696969,4992.3890566037735,1649.229827586207,3012.2592857142854,-192.15919999999997,2017.2492452830188,6599.901891891892,-128.58
43,6232.219677419354,5097.679999999999,2307.7193103448276,2396.858,-195.05938775510205,1952.1096226415093,6370.641111111111,-87.85466666666666
44,6457.253870967742,5021.205098039216,1580.5486440677964,2403.8730508474578,-201.8586274509804,2094.070816326531,6253.50081081081,-76.67176470588234
45,6300.824516129032,4713.380961538462,2225.9198333333334,2833.9896551724137,-196.02615384615385,2118.0147619047616,5929.651351351352,-88.39823529411764
46,6451.7128125,4674.946603773586,2178.8398360655738,2224.0666071428573,-181.638,2047.4402272727273,5971.781388888889,-58.452352941176464
47,6235.162424242425,4753.794807692308,2269.745161290323,2215.4029090909094,-185.5964,1590.942,6039.24972972973,-60.257222222222225
48,6310.911875,4760.7612,2193.3706451612907,2679.5674545454544,-193.0273469387755,1640.2677777777778,6057.011666666667,-42.50636363636364
49,6175.8184375,4690.195102040816,2303.9783870967744,2195.703859649123,-177.0508163265306,1696.9017391304346,6108.408333333334,-20.499999999999996
50,6689.84,4928.9559574468085,2378.3638333333333,2321.7191228070174,-146.61551020408163,1594.610588235294,6643.299999999999,-15.67782608695652
51,6632.997878787879,4824.8591836734695,1519.689649122807,2864.5512280701755,-139.0342,1703.9088000000002,6286.811351351351,-31.671363636363637
52,6570.441212121212,4791.717346938775,2320.1221818181816,2318.2308333333335,-135.20235294117646,1752.5041304347826,6366.866315789474,-46.67761904761905
53,6239.886666666667,4776.000212765957,2345.041818181818,2357.4750000000004,-145.91423076923076,1931.8295652173913,6048.380789473685,-28.865238095238094
54,6470.6973333333335,4795.535510204081,2383.2714814814817,2834.8057142857147,-101.98703703703704,1807.3852380952383,6153.265384615384,-44.417500000000004
55,6399.851785714286,4674.631764705882,2412.290350877193,2246.283582089552,-115.84836363636363,1922.7160000000001,6102.308717948718,-53.396470588235296
56,5755.06375,4196.824130434783,2153.74306122449,2197.27625,-20.360408163265305,1854.6784146341463,5231.705333333333,-15.684999999999999
57,5688.38652173913,4014.478125,2117.010185185185,2748.17,-28.50857142857143,1940.2766666666664,5418.897,-24.707222222222224
58,5837.3278260869565,4169.01081632653,1487.892,2311.8484375,-29.429375000000004,2061.6571794871797,5587.060333333333,-36.617777777777775
59,5445.3976,2344.9074,2060.678888888889,2140.4195,-33.0202,1997.6891358024693,5530.0436666666665,-39.828947368421055
60,5430.5425000000005,4107.784897959184,1999.638392857143,2695.499333333333,-27.847399999999997,2008.5756962025318,5437.5009375,-49.508421052631576
61,5591.6216,4190.2756,982.949298245614,2101.545833333333,-32.75269230769231,1974.1536708860758,5161.89172413793,-59.89157894736842
62,5570.590384615385,4195.6164,2047.1196363636363,2112.48828125,-41.225660377358494,1965.739,5210.605,-42.7438888888889
63,5690.064074074075,4213.12137254902,2008.0875438596493,2639.09109375,-48.02814814814815,1968.639342105263,5374.165483870968,-45.92526315789474
64,5694.287307692308,4319.458039215686,2036.752456140351,2140.0636764705882,-45.61709090909091,2101.2904477611937,5204.74,-48.7235
65,5604.706923076923,4387.727592592592,1348.7623728813558,2109.7634722222224,-48.23137254901961,2062.9157812500002,5332.550909090909,-62.26800000000001
66,5382.3025,4390.359636363636,2129.3064406779663,2689.258333333333,-41.89940000000001,2097.2680701754384,5465.643529411765,-57.58772727272728
67,5248.105806451613,4435.915740740741,2208.297288135593,2208.6660563380283,-47.034807692307695,1994.2875000000001,5635.709705882353,-41.55136363636364
68,5345.0196875,4406.217090909091,2005.9238333333333,2286.551690140845,-40.221199999999996,1931.1481132075473,5550.594444444444,-54.17136363636364
69,5403.151515151515,4545.476363636364,2248.9012903225807,2870.135072463768,-40.1084,1688.6496078431373,5646.171621621622,-40.2652380952381
70,5588.832727272727,4614.11245614035,2222.81625,2371.913857142857,-52.5534,1426.4457777777777,5825.328157894737,-46.85045454545455
71,5625.239696969697,4588.576440677966,2198.68578125,2331.5133333333333,-54.901698113207544,1524.2217948717948,5847.069473684211,-55.38136363636364
72,5793.27303030303,4615.539032258064,1502.1398484848485,2931.5665753424655,-66.21407407407408,1698.675,5833.724749999999,-67.97454545454546
73,5793.330857142857,4694.988253968254,2213.3348529411765,2460.596486486487,-76.82290909090909,1424.6766666666667,5882.168333333333,-76.90950000000001
74,5964.155142857143,4760.262089552239,2291.21,2517.8002666666666,-89.18642857142858,1383.4314285714286,6014.688837209303,-115.27375
75,6189.034285714286,4706.1315151515155,2220.375479452055,3100.6852631578945,-103.81807017543859,1531.2996875,6103.608636363637,-134.776875
76,6324.507352941177,4937.948461538462,2257.37875,2562.377012987013,-120.56051724137932,1541.064193548387,6261.6123913043475,-87.5729411764706
77,5670.200882352941,4550.487121212122,2152.03661971831,2340.929342105263,-116.17137931034482,1350.4116666666666,5707.442666666666,-80.81315789473685
